category,Played Time
Sur le boulevard du rythm'funky,18134
Superstar (feat. Matthew Santos),289000
Partyman,191560
Right Here Right Now,387706
The Dream Shatterer - Capital Punishment Mix,7529
Shook Ones Pt. II,185968
Biden strikes infrastructure deal Bitcoin’s plunge,583215
Up,156944
What’s Next,178153
Show Stop,179233
Grey Area,171837
FRANCHISE (feat. Young Thug & M.I.A.),202794
Show Out (with Skepta & Pop Smoke),174960
Need It,195680
Don't Rush (feat. DaBaby),201960
LEMONHEAD (feat. 42 Dugg),130980
Spicy (feat. Post Malone),143375
POPSTAR (feat. Drake),200221
Moonwalking in Calabasas (feat. Blueface) - Remix,170232
Runnin,30664
D'Evils,0
MANIFESTO (feat. Domo Genesis),65758
makeitliveforever,0
Yesterday,0
Mine,20224
Carefree,132028
SIR BAUDELAIRE (feat. DJ Drama),88624
CORSO,146481
LEMONHEAD (feat. 42 Dugg),130980
WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),121572
LUMBERJACK,138312
HOT WIND BLOWS (feat. Lil Wayne),155292
MASSA,223718
RUNITUP (feat. Teezo Touchdown),229564
MANIFESTO (feat. Domo Genesis),175122
SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),588139
MOMMA TALK,70926
RISE! (feat. DAISY WORLD),203588
BLESSED,57667
JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),146419
WILSHIRE,515865
SAFARI,101704
SAFARI,120325
SAFARI,40820
SIR BAUDELAIRE (feat. DJ Drama),88624
CORSO,146481
LEMONHEAD (feat. 42 Dugg),130980
WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),208228
LUMBERJACK,138312
HOT WIND BLOWS (feat. Lil Wayne),155292
MASSA,223718
RUNITUP (feat. Teezo Touchdown),229564
MANIFESTO (feat. Domo Genesis),175122
SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),176183
The Amazon wage effect,555490
SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),456751
MOMMA TALK,70926
RISE! (feat. DAISY WORLD),203588
BLESSED,57667
JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),146419
WILSHIRE,515865
EARFQUAKE,13034
SAFARI,177742
all of your love,123251
JEWELZ,174213
Under The Sun (with J. Cole & Lute feat. DaBaby),202040
Ego Death (feat. Kanye West FKA twigs & Skrillex),231618
Follow God,104591
4 Thangs (feat. Big Sean & Hit-Boy),104911
Tyler Herro,156497
Solid (feat. Drake),215693
Laugh Now Cry Later (feat. Lil Durk),261492
Gorgeous,151948
The frontrunner to replace Angela Merkel talks the CDU and Germany’s economy,691997
MOST,213344
American Hypnosis (feat. Akenya),78100
You know who kinda crushed Covid?,1574623
The Kardashi-end,81806
Up,6965
Spicy (feat. Post Malone),143375
Show Stop,179233
Show Out (with Skepta & Pop Smoke),46052
FWMGAB,1532
FRANCHISE (feat. Young Thug & M.I.A.),53684
Little While (feat. Big Sean & Hit-Boy),219192
What’s Next,178153
Up,145186
Need It,195680
Grey Area,35554
Change Tommorrow,180720
Lifes Been Good,275667
Inside the secretive private equity firm behind the £6.8bn Asda buyout,604810
Cartoon,169157
Cartoon,28212
Cartoon,22012
Viva la Vida,81142
Elevator - Remastered,181395
So They Say,115650
Jazzy's Joint,39950
Bopatron,180707
Do the Right Thing,96358
Hello,117023
The Sun & the Moon,88700
Only Way 2 Go (Instrumental),138735
poopoop,89722
Fainting Of Rejection,80441
Viva la Vida,81142
Sea Ridge,122644
Education,259999
Origami,109250
Its Rainy,119072
Superhero,154004
Love Letter,92794
Origami,109428
Elevator - Remastered,181500
So They Say,115650
Oak,167354
Crooklyn,95868
Newjerseydrive,122727
White Tea,83678
Dilladong,126928
Think Twice - DJ Muro's KG Mix,213877
Jazzy's Joint,129034
Do the Right Thing,97527
Meditations on Guitar,89739
White Tea,72513
Caffeine,76046
Sometimes - Remix Instrumental,210054
Come Back to You,133661
Camberwell,108043
Favorite Sause,90933
Fanatic - Instrumental,173384
Singing sad,157870
DT pt.3,155799
Camberwell,107940
Newjerseydrive,122712
Warmer Together,125364
Elevator - Remastered,181481
Caffeine,76030
Meditations on Guitar,89754
Fall In Love - Instrumental,178204
What It Used To Be,138321
Sewin' Love - Instrumental,161752
Oak,167209
Ol' Chip,56653
Black Tea,153574
Love Letter,92894
Mixed Emotions,12620
Superhero,157160
Carpet,127956
Libration,174924
Once Again - Instrumental,109086
Notes,147435
Umlati,94962
Yesterday,58844
Nightwatch,130608
Abstract Poetic,37964
Abstract Poetic,50568
Ghettos Worldwide,140455
The Hills,106863
Origami,66707
Origami,27051
Origami,27875
Next to Nothing - Instrumental,110500
DT pt.3,173615
Ol' Chip,77406
Ocean Waves,169090
SERENADE,110324
Come Back to You,140694
One For,138092
Pack It,136601
Mental Acupuncture,129380
Its Rainy,37806
Wading In Waist-High Water,135013
I'm Not My Season,191400
Sunblind,253613
For A Week Or Two,131506
Maestranza,183373
A Long Way Past The Past,239666
Young Man's Game,191680
Quiet Air / Gioia,267760
Shore,11761
Shore,248176
Can I Believe You,90729
London,4614
Medellin,374973
La Havane,185666
San Francisco,175474
Carthage,162226
Madagascar,138613
Nara,131920
London,157160
Alaska,239986
Nagasaki,186680
Ocean,87457
Refazenda,8008
Toda Menina Baiana,226640
Essa Moca Ta Diferente,0
Essa Moça Tá Diferente,163793
Águas De Março,209258
Chega De Saudade,121573
Se Todos Fossem Iguais a Voce,8428
Sozinho - Ao Vivo,0
Sozinho - Ao Vivo,78506
Sozinho - Ao Vivo,112021
Beleza Pura,95575
Corcovado,228252
Inútil Paisagem,186059
Por Toda A Minha Vida (Exaltação Ao Amor),25495
Construção,0
Águas De Março,0
Construção,383626
Blues Pra Bia,0
Saudade Da Bahia - Original Mix,15333
